Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QA06	20180827	22,2018-08-27 22:00:43,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA06/05_nestQA06_1_20180827_225718.avi,3601.840,25.0,Queen,broodmanipulate,,STATE,0.000,111.505,111.505,,
nest	QA06	20180822	1,2018-08-22 01:00:50,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA06/05_nestQA06_1_20180822_012833.avi,3600.440,25.0,Queen,broodmanipulate,,STATE,0.301,106.753,106.452,,
nest	QA06	20180822	6,2018-08-22 06:00:40,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA06/05_nestQA06_1_20180822_062844.avi,3602.600,25.0,Queen,broodmanipulate,,STATE,0.479,110.475,109.996,,
nest	QA06	20180827	20,2018-08-27 20:00:03,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA06/05_nestQA06_1_20180827_205711.avi,3599.640,25.0,Queen,broodmanipulate,,STATE,0.479,228.526,228.047,,
nest	QA06	20180822	5,2018-08-22 05:00:36,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA06/05_nestQA06_1_20180822_052840.avi,3600.440,25.0,Queen,broodmanipulate,,STATE,1.351,49.301,47.950,,
nest	QA06	20180822	2,2018-08-22 02:00:21,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA06/05_nestQA06_1_20180822_022835.avi,3600.440,25.0,Queen,broodmanipulate,,STATE,1.800,190.840,189.040,,
nest	QA06	20180822	1,2018-08-22 01:00:50,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA06/05_nestQA06_1_20180822_012833.avi,3600.440,25.0,Queen,feedsbrood,,POINT,2.080,2.080,NA,,
nest	QA06	20180826	10,2018-08-26 10:00:12,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA06/05_nestQA06_1_20180826_104433.avi,2384.320,25.0,Queen,broodmanipulate,,STATE,2.178,302.728,300.550,,
nest	QA06	20180826	7,2018-08-26 07:00:07,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA06/05_nestQA06_1_20180826_074411.avi,2296.480,25.0,Queen,broodmanipulate,,STATE,2.202,59.652,57.450,,
nest	QA06	20180826	18,2018-08-26 18:00:55,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA06/05_nestQA06_1_20180826_184531.avi,2195.200,25.0,Queen,incubate,,STATE,2.550,35.300,32.750,,
nest	QA06	20180827	8,2018-08-27 08:00:30,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA06/05_nestQA06_1_20180827_084810.avi,1707.840,25.0,Queen,incubate,,STATE,3.281,84.282,81.001,,
nest	QA06	20180828	2,2018-08-28 02:00:52,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA06/05_nestQA06_1_20180828_020137.avi,2917.400,25.0,Queen,incubate,,STATE,3.525,80.270,76.745,,
nest	QA06	20180827	20,2018-08-27 20:00:03,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA06/05_nestQA06_1_20180827_205711.avi,3599.640,25.0,Queen,feedsbrood,,POINT,24.506,24.506,NA,,
nest	QA06	20180822	2,2018-08-22 02:00:21,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA06/05_nestQA06_1_20180822_022835.avi,3600.440,25.0,Queen,feedsbrood,,POINT,30.928,30.928,NA,,
nest	QA06	20180826	18,2018-08-26 18:00:55,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA06/05_nestQA06_1_20180826_184531.avi,2195.200,25.0,Queen,broodmanipulate,,STATE,49.603,82.581,32.978,,
