Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QF10	20180816	6,2018-08-16 06:00:56,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF10/05_nestQF10_1_20180816_063553.avi,3601.400,25.0,Queen (6),incubate,,STATE,1.527,64.457,62.930,,
nest	QF10	20180815	9,2018-08-15 09:00:48,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF10/05_nestQF10_1_20180815_093444.avi,3555.280,25.0,Queen (6),broodmanipulate,,STATE,2.206,135.879,133.673,,
nest	QF10	20180815	19,2018-08-15 19:00:40,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF10/05_nestQF10_1_20180815_193509.avi,3596.000,25.0,Queen (6),incubate,,STATE,9.203,20.550,11.347,,
nest	QF10	20180816	8,2019-02-25 12:26:20,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF10/05_nestQF10_1_20180816_083559.avi,3599.000,25.0,Queen (6),broodmanipulate,,STATE,16.240,31.440,15.200,,
nest	QF10	20180815	19,2018-08-15 19:00:40,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF10/05_nestQF10_1_20180815_193509.avi,3596.000,25.0,Worker 1 (71),fillshoneypot,,POINT,21.451,21.451,NA,,
nest	QF10	20180815	23,2018-08-15 23:00:02,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF10/05_nestQF10_1_20180815_233528.avi,3601.040,25.0,Queen (6),incubate,,STATE,23.920,138.160,114.240,,
for	QF10	20180815	23,2018-08-15 23:00:39,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF10/05_forQF10_1_20180815_233549.avi,3602.080,25.0,No focal subject,nectarforaging,,STATE,27.940,112.566,84.626,,
nest	QF10	20180816	8,2019-02-25 12:26:20,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF10/05_nestQF10_1_20180816_083559.avi,3599.000,25.0,Queen (6),incubate,,STATE,56.200,85.520,29.320,,
for	QF10	20180815	19,2018-08-15 19:00:22,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF10/05_forQF10_1_20180815_193542.avi,3598.760,25.0,Worker 1 (71),nectarforaging,,STATE,67.154,248.679,181.525,,
nest	QF10	20180815	19,2018-08-15 19:00:40,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF10/05_nestQF10_1_20180815_193509.avi,3596.000,25.0,Queen (6),incubate,,STATE,77.733,254.225,176.492,,
