Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 5 (65),nectarforaging,,STATE,0.000,21.704,21.704,,
for	QF11	20181119	16,2018-11-19 16:00:04,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181119_161017.avi,1777.000,25.0,Worker 5 (65),nectarforaging,,STATE,0.000,41.141,41.141,,
for	QF11	20181118	13,2018-11-18 13:00:00,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_133625.avi,1119.800,25.0,Worker 1 (9),nectarforaging,,STATE,0.804,192.368,191.564,,
nest	QF11	20181112	22,2018-11-12 22:00:38,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181112_221255.avi,1520.040,25.0,Queen (98),incubate,,STATE,0.880,44.360,43.480,,
for	QF11	20181113	21,2018-11-13 21:00:32,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_211154.avi,815.840,25.0,Worker 4 (52),nectarforaging,,STATE,1.436,13.868,12.432,,
nest	QF11	20181118	13,2018-11-18 13:00:21,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181118_133354.avi,1134.560,25.0,Queen (98),incubate,,STATE,1.506,52.857,51.351,,
nest	QF11	20181113	6,2018-11-13 06:00:42,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181113_060516.avi,930.280,25.0,Queen (98),incubate,,STATE,2.177,17.001,14.824,,
nest	QF11	20181119	16,2018-11-19 16:00:10,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181119_160902.avi,1759.720,25.0,Queen (98),broodmanipulate,,STATE,2.180,29.181,27.001,,
nest	QF11	20181113	21,2019-10-10 08:42:38,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181113_210958.avi,821.240,25.0,Queen (98),incubate,,STATE,2.602,83.256,80.654,,
nest	QF11	20181118	14,2018-11-18 14:00:29,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181118_143430.avi,1024.320,25.0,Queen (98),incubate,,STATE,3.827,6.003,2.176,,
nest	QF11	20181114	0,2018-11-14 00:00:00,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181114_001055.avi,1072.120,25.0,Queen (98),incubate,,STATE,4.056,53.614,49.558,,
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 5 (65),nectarforaging,,STATE,7.530,60.979,53.449,,
nest	QF11	20181119	21,2018-11-19 21:00:03,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181119_210951.avi,1732.040,25.0,Queen (98),incubate,,STATE,8.125,174.705,166.580,,
nest	QF11	20181118	14,2018-11-18 14:00:29,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181118_143430.avi,1024.320,25.0,Queen (98),broodmanipulate,,STATE,9.251,10.853,1.602,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 2 (17),nectarforaging,,STATE,10.075,25.980,15.905,,
nest	QF11	20181118	14,2018-11-18 14:00:29,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181118_143430.avi,1024.320,25.0,Queen (98),broodmanipulate,,STATE,18.376,26.480,8.104,,
for	QF11	20181118	20,2018-11-18 20:00:16,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_203859.avi,834.120,25.0,Worker 2 (17),nectarforaging,,STATE,20.005,48.867,28.862,,
for	QF11	20181118	15,2018-11-18 15:00:02,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_153652.avi,945.920,25.0,Worker 5 (65),nectarforaging,,STATE,28.204,74.080,45.876,,
nest	QF11	20181113	6,2018-11-13 06:00:42,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181113_060516.avi,930.280,25.0,Queen (98),broodmanipulate,,STATE,28.928,30.532,1.604,,
nest	QF11	20181112	22,2018-11-12 22:00:38,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181112_221255.avi,1520.040,25.0,Queen (98),broodmanipulate,,STATE,47.800,56.319,8.519,,
nest	QF11	20181119	16,2018-11-19 16:00:10,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181119_160902.avi,1759.720,25.0,Queen (98),broodmanipulate,,STATE,48.601,82.131,33.530,,
nest	QF11	20181118	13,2018-11-18 13:00:21,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181118_133354.avi,1134.560,25.0,Queen (98),broodmanipulate,,STATE,53.378,85.779,32.401,,
nest	QF11	20181114	0,2018-11-14 00:00:00,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181114_001055.avi,1072.120,25.0,Queen (98),broodmanipulate,,STATE,53.615,102.138,48.523,,
