Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QT14	20181112	21,2018-11-12 21:00:17,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT14/05_nestQT14_1_20181112_214807.avi,73.360,22.0,Queen (97),incubate,,STATE,0.000,72.682,72.682,,
nest	QT14	20181116	23,2018-11-16 23:00:37,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT14/05_nestQT14_1_20181116_233519.avi,68.410,22.0,Queen (97),broodmanipulate,,STATE,0.000,24.727,24.727,,
nest	QT14	20181110	11,2018-11-10 11:00:05,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT14/05_nestQT14_1_20181110_110159.avi,63.730,22.0,Queen (97),incubate,,STATE,0.045,63.726,63.681,,
nest	QT14	20181110	8,2018-11-10 08:00:14,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT14/05_nestQT14_1_20181110_085236.avi,63.230,22.0,Worker 1 (5),other,,STATE,0.250,24.503,24.253,,
for	QT14	20181117	6,2018-11-17 06:00:17,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QT/QT14/05_forQT14_1_20181117_062204.avi,61.680,25.0,Worker 2 (17),nectarforaging,,STATE,1.305,23.979,22.674,,
nest	QT14	20181117	6,2018-11-17 06:00:52,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT14/05_nestQT14_1_20181117_064828.avi,67.050,22.0,Queen (97),broodmanipulate,,STATE,1.654,56.879,55.225,,
nest	QT14	20181111	3,2018-11-11 03:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT14/05_nestQT14_1_20181111_030522.avi,65.450,22.0,Queen (97),incubate,,STATE,3.601,27.628,24.027,,
nest	QT14	20181118	21,2018-11-18 21:00:07,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT14/05_nestQT14_1_20181118_210100.avi,70.140,22.0,Queen (97),incubate,,STATE,12.127,28.555,16.428,,
nest	QT14	20181117	21,2018-11-17 21:00:09,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT14/05_nestQT14_1_20181117_215226.avi,71.770,22.0,Queen (97),incubate,,STATE,19.481,55.693,36.212,,
for	QT14	20181117	1,2018-11-17 01:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QT/QT14/05_forQT14_1_20181117_011223.avi,60.520,25.0,Worker 3 (42),nectarforaging,,STATE,24.278,24.279,0.001,,
