,,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen
,,broodmanipulate,broodmanipulate,broodmanipulate,broodmanipulate,broodmanipulate,end,end,end,end,end,feedsbrood,feedsbrood,feedsbrood,feedsbrood,feedsbrood,incubate,incubate,incubate,incubate,incubate,nectarforaging,nectarforaging,nectarforaging,nectarforaging,nectarforaging
,Total length (s),Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time
QA01	20180706	3,3601.160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QA01	20180707	14,938.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA01	20180629	16,3366.440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA01	20180629	23,3429.120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA01	20180630	1,3451.320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA01	20180630	10,3442.840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA01	20180630	12,3423.880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA01	20180630	13,3370.320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA01	20180630	14,3365.320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380.400,1,380.400,0,0.113
for	QA01	20180630	17,3408.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA01	20180630	3,3384.520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA01	20180705	17,3600.280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA01	20180705	21,3600.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA01	20180706	10,3599.480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA01	20180707	0,3600.200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA01	20180707	1,3600.680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QA01	20180629	16,3378.480,228.719,2,114.359,132.654,0.068,0.000,1,0.000,0,0.000,0,0,0,0,0,4.239,1,4.239,0,0.001,0,0,0,0,0
nest	QA01	20180629	23,3444.120,93.100,1,93.100,0,0.027,0.000,1,0.000,0,0.000,0,0,0,0,0,214.953,1,214.953,0,0.062,0,0,0,0,0
nest	QA01	20180630	1,3467.440,0,0,0,0,0,0.000,1,0.000,0,0.000,0,0,0,0,0,173.239,1,173.239,0,0.050,0,0,0,0,0
nest	QA01	20180630	12,3443.520,29.775,3,9.925,5.496,0.009,0.000,1,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QA01	20180630	13,3390.760,41.655,1,41.655,0,0.012,0.000,1,0.000,0,0.000,0,0,0,0,0,253.999,1,253.999,0,0.075,0,0,0,0,0
