,,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen
,,broodmanipulate,broodmanipulate,broodmanipulate,broodmanipulate,broodmanipulate,end,end,end,end,end,feedsbrood,feedsbrood,feedsbrood,feedsbrood,feedsbrood,incubate,incubate,incubate,incubate,incubate,nectarforaging,nectarforaging,nectarforaging,nectarforaging,nectarforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging
,Total length (s),Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time
for	QA02	20180703	18,3600.760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.372,3,100.791,65.732,0.084,10.550,1,10.550,0,0.003
for	QA02	20180703	19,3599.960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1333.556,15,88.904,62.197,0.370,362.562,6,60.427,46.692,0.101
for	QA02	20180703	21,3588.440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA02	20180703	22,3610.640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA02	20180704	0,3601.840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA02	20180704	10,3601.040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.273,3,68.091,69.303,0.057,70.828,4,17.707,16.899,0.020
for	QA02	20180704	18,3592.520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA02	20180704	2,3601.160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA02	20180704	20,3565.320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838.473,15,55.898,44.388,0.235,304.274,7,43.468,49.829,0.085
for	QA02	20180704	3,3600.760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA02	20180704	6,3599.720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA02	_20180702	_16	0:00-5:00,3601.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QA02	20180703	18,3599.840,20.582,2,10.291,0.793,0.006,0.000,1,0.000,0,0.000,0,0,0,0,0,35.650,1,35.650,0,0.010,0,0,0,0,0,0,0,0,0,0
nest	QA02	20180703	19,3599.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QA02	20180703	21,3597.480,48.102,4,12.026,12.603,0.013,0.000,1,0.000,0,0.000,0,0,0,0,0,227.603,1,227.603,0,0.063,0,0,0,0,0,0,0,0,0,0
nest	QA02	20180703	22,3604.480,110.746,2,55.373,43.528,0.031,0,0,0,0,0,0,0,0,0,0,119.280,1,119.280,0,0.033,0,0,0,0,0,0,0,0,0,0
nest	QA02	20180704	0,3601.520,298.800,1,298.800,0,0.083,0.000,1,0.000,0,0.000,0.000,1,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QA02	20180704	10,3601.640,67.160,1,67.160,0,0.019,0,0,0,0,0,0,0,0,0,0,230.320,2,115.160,50.516,0.064,0,0,0,0,0,0,0,0,0,0
nest	QA02	20180704	2,3601.160,79.975,1,79.975,0,0.022,0.000,1,0.000,0,0.000,0,0,0,0,0,218.503,2,109.251,88.211,0.061,0,0,0,0,0,0,0,0,0,0
nest	QA02	20180704	20,3598.960,35.600,2,17.800,1.131,0.010,0.000,1,0.000,0,0.000,0,0,0,0,0,42.199,1,42.199,0,0.012,0,0,0,0,0,0,0,0,0,0
nest	QA02	20180704	3,3600.680,156.843,2,78.421,95.634,0.044,0.000,1,0.000,0,0.000,0.000,1,0.000,0,0.000,146.126,1,146.126,0,0.041,0,0,0,0,0,0,0,0,0,0
nest	QA02	20180704	6,3600.760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
