,,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen
,,broodmanipulate,broodmanipulate,broodmanipulate,broodmanipulate,broodmanipulate,end,end,end,end,end,feedsbrood,feedsbrood,feedsbrood,feedsbrood,feedsbrood,fillshoneypot,fillshoneypot,fillshoneypot,fillshoneypot,fillshoneypot,incubate,incubate,incubate,incubate,incubate,nectarforaging,nectarforaging,nectarforaging,nectarforaging,nectarforaging
,Total length (s),Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time
for	QA06	20180821	21,3601.040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA06	20180821	22,3593.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA06	20180822	1,3600.840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA06	20180822	16,2535.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.891,2,78.945,46.661,0.062
for	QA06	20180822	2,3600.440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA06	20180822	3,3599.760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA06	20180822	5,3600.120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.922,1,96.922,0,0.027
for	QA06	20180822	6,3602.320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.978,1,13.978,0,0.004
for	QA06	20180826	10,2404.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.524,1,109.524,0,0.046
for	QA06	20180826	7,2296.520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.677,1,4.677,0,0.002
for	QA06	20180827	20,3601.840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.330,1,42.330,0,0.012
for	QA06	20180827	22,3603.360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA06	20180827	8,1745.240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA06	20180828	2,2872.960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.274,1,134.274,0,0.047
nest	QA06	20180820	9,1063.920,37.254,1,37.254,0,0.035,0.000,1,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,8.514,1,8.514,0,0.008,0,0,0,0,0
nest	QA06	20180821	21,3601.760,74.480,2,37.240,36.317,0.021,0.000,2,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QA06	20180821	22,3601.280,0,0,0,0,0,0.000,1,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QA06	20180822	1,3600.440,112.804,2,56.402,70.781,0.031,0,0,0,0,0,0.000,1,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QA06	20180822	2,3600.440,295.719,2,147.859,58.238,0.082,0.000,1,0.000,0,0.000,0.000,1,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QA06	20180822	5,3600.440,281.166,4,70.291,65.656,0.078,0,0,0,0,0,0.000,1,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QA06	20180822	6,3602.600,125.668,4,31.417,52.447,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.874,1,124.874,0,0.035,0,0,0,0,0
nest	QA06	20180826	10,2384.320,300.550,1,300.550,0,0.126,0.000,1,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QA06	20180826	18,2195.200,87.396,4,21.849,9.845,0.040,0.000,1,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,174.504,3,58.168,41.023,0.079,0,0,0,0,0
nest	QA06	20180826	7,2296.480,240.202,3,80.067,62.143,0.105,0.000,1,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,30.350,1,30.350,0,0.013,0,0,0,0,0
nest	QA06	20180827	20,3599.640,243.376,3,81.125,127.339,0.068,0,0,0,0,0,0.000,2,0.000,0.000,0.000,0,0,0,0,0,40.476,1,40.476,0,0.011,0,0,0,0,0
nest	QA06	20180827	22,3601.840,111.505,1,111.505,0,0.031,0.000,1,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,184.422,1,184.422,0,0.051,0,0,0,0,0
